Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_rescale_default_21
Conv2D,Conv2D,NPU,110496,18.049239454288852,38627,0.6783900446827337,38627,5285,5468,0,0,7225344,1.2304857654987333,73.06806120071452,tosa_table_default_10
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_10
Conv2D,Conv2D,NPU,210672,34.41273326015368,38739,0.680357054416973,38739,5246,5468,0,0,7225344,1.2304857654987333,72.85681096569348,tosa_table_default_11
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_11
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_1
Concat,MemoryCopy,NPU,175616,28.686425173801684,13148,0.2309128927301779,13148,1864,0,0,0,25088,0.004272520019092824,0.7453605111043504,tosa_concat_default_1
Concat,MemoryCopy,NPU,150528,24.588364434687158,13310,0.2337580318100599,13310,6750,0,0,0,25088,0.004272520019092824,0.7362885048835462,tosa_concat_default_1
Concat,MemoryCopy,NPU,150528,24.588364434687158,13310,0.2337580318100599,13310,6750,0,0,0,25088,0.004272520019092824,0.7362885048835462,tosa_concat_default_1
Conv2D,Conv2D,NPU,158864,25.950028749150594,25768,0.45255273957036996,25768,11207,21874,0,0,6422528,1.093765124887763,97.36106799130705,tosa_table_default_12
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_12
Conv2D,Conv2D,NPU,151376,24.72688306936386,77242,1.356569338322513,77242,20760,12499,0,0,14450688,2.4609715309974667,73.07941275471893,tosa_table_default_13
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_13
Conv2D,Conv2D,NPU,117152,19.136480058543725,21874,0.38416402613172435,13336,8099,21874,0,0,3211264,0.5468825624438814,57.34662155984274,tosa_table_default_14
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_14
Conv2D,Conv2D,NPU,126544,20.670639276566828,39544,0.6944949368818188,39544,14000,7043,0,0,7225344,1.2304857654987333,71.37365972081732,tosa_table_default_15
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_15
Conv2D,Conv2D,NPU,139360,22.76410015158643,39393,0.6918429862579782,39393,6206,3124,0,0,7225344,1.2304857654987333,71.64724697281243,tosa_table_default_16
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_16
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_rescale_default_34
Conv2D,Conv2D,NPU,139408,22.77194082902096,39281,0.6898759765237388,39281,5033,3124,0,0,7225344,1.2304857654987333,71.85153127466205,tosa_table_default_17
