Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Resize,Resize,NPU,238336,38.931577021588,4900,0.08605667587297473,0,4900,0,0,0,0,0.0,0.0,tosa_concat_default_7
Concat,MemoryCopy,NPU,238336,38.931577021588,25692,0.4512179829649932,25692,3728,0,0,0,50176,0.008545040038185648,0.7628833878250039,tosa_concat_default_7
Conv2D,Conv2D,NPU,250320,40.88913282107574,38508,0.6763000968401043,38508,20643,21874,0,0,9633792,1.6406476873316445,97.7251480211904,tosa_table_default_30
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_30
Conv2D,Conv2D,NPU,122720,20.045998640949243,38942,0.683922259560282,38942,14700,5468,0,0,7225344,1.2304857654987333,72.47701710235735,tosa_table_default_31
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_31
Conv2D,Conv2D,NPU,197872,32.32188594427892,38627,0.6783900446827337,38627,6758,5468,0,0,7225344,1.2304857654987333,73.06806120071452,tosa_concat_default_8
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_8
Concat,MemoryCopy,NPU,163072,26.63739480424442,13310,0.2337580318100599,13310,6750,0,0,0,25088,0.004272520019092824,0.7362885048835462,tosa_concat_default_8
Concat,MemoryCopy,NPU,163072,26.63739480424442,13310,0.2337580318100599,13310,6750,0,0,0,25088,0.004272520019092824,0.7362885048835462,tosa_concat_default_8
Conv2D,Conv2D,NPU,170416,27.837018451727563,25768,0.45255273957036996,25768,9205,21874,0,0,4816896,0.8203238436658222,73.02080099348028,tosa_table_default_33
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_33
Conv2D,Conv2D,NPU,163008,26.626940567665045,39610,0.6956540676180671,39610,10976,6249,0,0,7225344,1.2304857654987333,71.2547336531179,tosa_concat_default_9
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_9
Concat,MemoryCopy,NPU,125440,20.49030369557263,13148,0.2309128927301779,13148,2080,0,0,0,25088,0.004272520019092824,0.7453605111043504,tosa_concat_default_9
Conv2D,Conv2D,NPU,149152,24.36359834823062,21874,0.38416402613172435,19650,10395,21874,0,0,4816896,0.8203238436658222,86.0199323397641,tosa_table_default_35
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_35
Conv2D,Conv2D,NPU,137408,22.44524593591553,39544,0.6944949368818188,39544,14000,3124,0,0,7225344,1.2304857654987333,71.37365972081732,tosa_table_default_36
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_36
Conv2D,Conv2D,NPU,176592,28.845852281637132,39281,0.6898759765237388,39281,5789,3124,0,0,7225344,1.2304857654987333,71.85153127466205,tosa_concat_default_10
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_10
Concat,MemoryCopy,NPU,125440,20.49030369557263,6930,0.12170872730606426,6930,2025,0,0,0,12544,0.002136260009546412,0.7070707070707071,tosa_concat_default_10
Concat,MemoryCopy,NPU,125440,20.49030369557263,6930,0.12170872730606426,6930,2025,0,0,0,12544,0.002136260009546412,0.7070707070707071,tosa_concat_default_10
Conv2D,Conv2D,NPU,148832,24.31132716533375,21874,0.38416402613172435,19440,8207,21874,0,0,4816896,0.8203238436658222,86.0199323397641,tosa_table_default_38
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_38
Conv2D,Conv2D,NPU,106624,17.416758141236738,46075,0.8091961920096552,46075,4900,45507,0,0,7225344,1.2304857654987333,61.25664677156809,tosa_concat_default_11
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_11
Concat,MemoryCopy,NPU,106624,17.416758141236738,7872,0.13825268417797082,7872,904,0,0,0,12544,0.002136260009546412,0.6224593495934959,tosa_concat_default_11
Conv2D,Conv2D,NPU,106624,17.416758141236738,27514,0.4832170163202095,22714,7350,27514,0,0,4816896,0.8203238436658222,68.38700298030093,tosa_table_default_40
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_40
Conv2D,Conv2D,NPU,94080,15.367727771679473,46075,0.8091961920096552,46075,4900,45190,0,0,7225344,1.2304857654987333,61.25664677156809,tosa_table_default_41
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_41
Conv2D,Conv2D,NPU,112896,18.441273326015367,45995,0.8077911850566271,45995,1372,44350,0,0,7225344,1.2304857654987333,61.36319165126644,tosa_concat_default_12
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_12
Concat,MemoryCopy,NPU,106624,17.416758141236738,4288,0.0753083726823093,4288,452,0,0,0,6272,0.001068130004773206,0.5713619402985075,tosa_concat_default_12
Concat,MemoryCopy,NPU,106624,17.416758141236738,4288,0.0753083726823093,4288,452,0,0,0,6272,0.001068130004773206,0.5713619402985075,tosa_concat_default_12
Conv2D,Conv2D,NPU,106624,17.416758141236738,26333,0.46247560117613135,22555,7350,26333,0,0,4816896,0.8203238436658222,71.45406903884859,tosa_table_default_43
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_43
Conv2D,Conv2D,NPU,90944,14.855470179290156,48683,0.8549994186783731,48683,1225,44121,0,0,7112448,1.2112594254128155,57.0692028017994,tosa_table_default_60
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_60
Conv2D,Conv2D,NPU,94080,15.367727771679473,12395,0.21768826478480036,12395,306,11235,0,0,1750329,0.2980833742226851,55.16113478217023,tosa_table_default_61
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_61
Conv2D,Conv2D,NPU,98624,16.109978568815013,14062,0.2469650971685246,1170,2379,14062,0,0,194481,0.03312037491363168,5.402442086829754,tosa_transpose_default_5
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_5
Concat,MemoryCopy,NPU,155728,25.43777115676128,2952,0.05184475656673906,2952,753,0,0,0,3087,0.0005257202367243123,0.4084889481707317,tosa_concat_default_15
Conv2D,Conv2D,NPU,165184,26.982384611363756,78257,1.3743953640390578,78257,7000,45888,0,0,14224896,2.422518850825631,71.0045107785885,tosa_table_default_58
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_58
Conv2D,Conv2D,NPU,214192,34.987716272019235,39281,0.6898759765237388,39281,4871,3124,0,0,7001316,1.1923334968907404,69.62371280008146,tosa_table_default_59
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_59
Conv2D,Conv2D,NPU,181920,29.71616747687,12499,0.21951477382373696,4008,4271,12499,0,0,777924,0.1324814996545267,24.31206996559725,tosa_transpose_default_4
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_4
Concat,MemoryCopy,NPU,164992,26.951021901625634,7140,0.12539687055776316,7140,2646,0,0,0,12348,0.002102880946897249,0.6755514705882353,tosa_concat_default_15
Conv2D,Conv2D,NPU,240240,39.24259055982437,152195,2.672937915201508,152195,19873,10937,0,0,28449792,4.845037701651262,73.01948158612306,tosa_table_default_56
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_56
Conv2D,Conv2D,NPU,289680,47.318488317390624,152195,2.672937915201508,152195,18861,10937,0,0,28005264,4.769333987562962,71.87855218633989,tosa_table_default_57
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_57
